File Name,Visibility Class,X,Y,Trajectory Pattern
0000.jpg,1,1231.0,462.0,0.0
0001.jpg,1,1231.0,460.0,0.0
0002.jpg,1,1234.0,456.0,0.0
0003.jpg,1,1233.0,454.0,0.0
0004.jpg,1,1228.0,452.0,0.0
0005.jpg,1,1219.0,453.0,0.0
0006.jpg,1,1201.0,457.0,0.0
0007.jpg,1,1202.0,459.0,0.0
0008.jpg,1,1184.0,459.0,0.0
0009.jpg,1,1160.0,464.0,0.0
0010.jpg,1,1137.0,472.0,0.0
0011.jpg,1,1114.0,478.0,0.0
0012.jpg,1,1082.0,489.0,0.0
0013.jpg,1,1083.0,490.0,0.0
0014.jpg,1,1056.0,505.0,0.0
0015.jpg,2,1025.0,519.0,0.0
0016.jpg,2,1002.0,534.0,0.0
0017.jpg,2,976.0,551.0,2.0
0018.jpg,2,951.0,540.0,0.0
0019.jpg,2,951.0,541.0,0.0
0020.jpg,2,927.0,526.0,0.0
0021.jpg,2,903.0,513.0,0.0
0022.jpg,2,887.0,505.0,0.0
0023.jpg,2,864.0,495.0,0.0
0024.jpg,1,848.0,487.0,0.0
0025.jpg,1,849.0,489.0,0.0
0026.jpg,1,832.0,484.0,0.0
0027.jpg,1,814.0,478.0,0.0
0028.jpg,1,805.0,480.0,0.0
0029.jpg,1,792.0,479.0,0.0
0030.jpg,1,787.0,484.0,0.0
0031.jpg,1,787.0,484.0,0.0
0032.jpg,1,783.0,487.0,0.0
0033.jpg,1,774.0,497.0,0.0
0034.jpg,1,772.0,507.0,0.0
0035.jpg,1,767.0,517.0,0.0
0036.jpg,1,761.0,520.0,2.0
0037.jpg,1,762.0,523.0,2.0
0038.jpg,1,758.0,512.0,0.0
0039.jpg,1,751.0,505.0,0.0
0040.jpg,1,747.0,500.0,0.0
0041.jpg,1,740.0,495.0,0.0
0042.jpg,1,735.0,494.0,0.0
0043.jpg,1,734.0,492.0,0.0
0044.jpg,1,727.0,491.0,0.0
0045.jpg,1,726.0,495.0,0.0
0046.jpg,1,720.0,498.0,0.0
0047.jpg,1,719.0,503.0,0.0
0048.jpg,1,717.0,512.0,0.0
0049.jpg,1,717.0,514.0,0.0
0050.jpg,1,715.0,523.0,2.0
0051.jpg,1,711.0,519.0,0.0
0052.jpg,2,709.0,529.0,1.0
0053.jpg,0,,,
0054.jpg,2,703.0,527.0,1.0
0055.jpg,1,704.0,527.0,1.0
0056.jpg,1,714.0,526.0,1.0
0057.jpg,1,717.0,528.0,1.0
0058.jpg,1,724.0,529.0,1.0
0059.jpg,1,727.0,533.0,1.0
0060.jpg,1,743.0,529.0,1.0
0061.jpg,1,742.0,530.0,1.0
0062.jpg,1,754.0,529.0,1.0
0063.jpg,1,772.0,535.0,1.0
0064.jpg,2,800.0,540.0,1.0
0065.jpg,2,827.0,538.0,1.0
0066.jpg,2,847.0,524.0,1.0
0067.jpg,2,844.0,520.0,1.0
0068.jpg,2,859.0,524.0,1.0
0069.jpg,2,876.0,533.0,1.0
