File Name,Visibility Class,X,Y,Trajectory Pattern
0000.jpg,1,1052.0,460.0,1.0
0001.jpg,1,1054.0,460.0,1.0
0002.jpg,1,1053.0,461.0,1.0
0003.jpg,1,1052.0,464.0,1.0
0004.jpg,1,1053.0,459.0,1.0
0005.jpg,1,1054.0,460.0,1.0
0006.jpg,1,1049.0,456.0,1.0
0007.jpg,1,1042.0,450.0,1.0
0008.jpg,0,,,
0009.jpg,0,,,
0010.jpg,0,,,
0011.jpg,1,1019.0,407.0,0.0
0012.jpg,1,1013.0,397.0,0.0
0013.jpg,1,1012.0,387.0,0.0
0014.jpg,1,1007.0,377.0,1.0
0015.jpg,1,1009.0,377.0,1.0
0016.jpg,1,1005.0,369.0,1.0
0017.jpg,1,999.0,362.0,1.0
0018.jpg,1,999.0,355.0,1.0
0019.jpg,1,996.0,351.0,1.0
0020.jpg,2,993.0,348.0,1.0
0021.jpg,2,990.0,346.0,1.0
0022.jpg,2,993.0,345.0,1.0
0023.jpg,2,992.0,343.0,1.0
0024.jpg,2,994.0,341.0,1.0
0025.jpg,2,,,1.0
0026.jpg,0,,,
0027.jpg,0,,,
0028.jpg,0,,,
0029.jpg,0,,,
0030.jpg,0,,,
0031.jpg,1,1019.0,361.0,0.0
0032.jpg,1,1028.0,366.0,0.0
0033.jpg,1,1027.0,367.0,0.0
0034.jpg,1,1032.0,372.0,1.0
0035.jpg,0,,,
0036.jpg,0,,,
0037.jpg,0,,,
0038.jpg,0,,,
0039.jpg,0,,,
0040.jpg,0,,,
0041.jpg,1,1111.0,329.0,1.0
0042.jpg,1,1107.0,326.0,1.0
0043.jpg,1,1092.0,313.0,1.0
0044.jpg,0,,,
0045.jpg,1,1070.0,302.0,0.0
0046.jpg,0,,,
0047.jpg,1,1007.0,280.0,0.0
0048.jpg,0,,,
0049.jpg,0,,,
0050.jpg,1,922.0,263.0,0.0
0051.jpg,0,,,
0052.jpg,1,901.0,257.0,0.0
0053.jpg,1,887.0,253.0,0.0
0054.jpg,1,867.0,249.0,0.0
0055.jpg,1,853.0,247.0,0.0
0056.jpg,1,840.0,248.0,0.0
0057.jpg,1,839.0,245.0,0.0
0058.jpg,1,828.0,245.0,0.0
0059.jpg,1,816.0,243.0,0.0
0060.jpg,1,805.0,243.0,0.0
0061.jpg,1,797.0,247.0,0.0
0062.jpg,1,790.0,250.0,0.0
0063.jpg,1,792.0,249.0,0.0
0064.jpg,1,784.0,255.0,0.0
0065.jpg,1,775.0,256.0,0.0
0066.jpg,1,768.0,262.0,0.0
0067.jpg,1,755.0,264.0,0.0
0068.jpg,1,744.0,272.0,0.0
0069.jpg,1,745.0,272.0,0.0
0070.jpg,1,730.0,279.0,0.0
0071.jpg,1,713.0,283.0,0.0
0072.jpg,1,698.0,292.0,0.0
0073.jpg,1,681.0,300.0,0.0
0074.jpg,1,665.0,311.0,0.0
0075.jpg,1,668.0,313.0,0.0
0076.jpg,1,653.0,319.0,0.0
0077.jpg,1,637.0,329.0,0.0
0078.jpg,0,,,
0079.jpg,2,623.0,340.0,1.0
0080.jpg,2,636.0,338.0,1.0
0081.jpg,2,639.0,341.0,1.0
0082.jpg,2,650.0,339.0,1.0
0083.jpg,2,662.0,340.0,1.0
0084.jpg,2,681.0,339.0,1.0
0085.jpg,2,693.0,335.0,1.0
0086.jpg,2,708.0,333.0,1.0
