File Name,Visibility Class,X,Y,Trajectory Pattern
0000.jpg,1,671.0,407.0,1.0
0001.jpg,1,669.0,411.0,1.0
0002.jpg,1,670.0,410.0,1.0
0003.jpg,0,,,
0004.jpg,1,670.0,403.0,1.0
0005.jpg,1,668.0,391.0,1.0
0006.jpg,1,656.0,371.0,1.0
0007.jpg,0,,,
0008.jpg,1,585.0,339.0,0.0
0009.jpg,1,586.0,338.0,0.0
0010.jpg,1,554.0,327.0,0.0
0011.jpg,1,523.0,314.0,0.0
0012.jpg,1,493.0,304.0,0.0
0013.jpg,1,468.0,296.0,0.0
0014.jpg,1,445.0,288.0,0.0
0015.jpg,1,446.0,289.0,0.0
0016.jpg,1,425.0,283.0,0.0
0017.jpg,1,407.0,280.0,0.0
0018.jpg,1,396.0,278.0,0.0
0019.jpg,1,377.0,280.0,0.0
0020.jpg,1,367.0,280.0,0.0
0021.jpg,1,369.0,280.0,0.0
0022.jpg,1,358.0,280.0,0.0
0023.jpg,1,353.0,282.0,0.0
0024.jpg,1,344.0,283.0,0.0
0025.jpg,1,343.0,286.0,0.0
0026.jpg,1,359.0,288.0,0.0
0027.jpg,1,358.0,288.0,1.0
0028.jpg,1,372.0,291.0,1.0
0029.jpg,1,383.0,293.0,1.0
0030.jpg,1,397.0,294.0,1.0
0031.jpg,1,401.0,292.0,1.0
0032.jpg,1,405.0,291.0,1.0
0033.jpg,1,404.0,291.0,1.0
0034.jpg,2,414.0,301.0,1.0
0035.jpg,2,417.0,299.0,1.0
0036.jpg,2,419.0,298.0,1.0
0037.jpg,2,426.0,299.0,1.0
0038.jpg,2,429.0,296.0,1.0
0039.jpg,1,426.0,297.0,0.0
0040.jpg,1,430.0,295.0,1.0
0041.jpg,1,432.0,295.0,1.0
0042.jpg,1,433.0,292.0,1.0
0043.jpg,1,434.0,289.0,1.0
0044.jpg,0,,,
0045.jpg,1,431.0,287.0,1.0
0046.jpg,1,434.0,283.0,1.0
0047.jpg,1,430.0,280.0,1.0
0048.jpg,1,429.0,273.0,1.0
0049.jpg,1,423.0,264.0,1.0
0050.jpg,0,,,
0051.jpg,0,,,
0052.jpg,2,400.0,250.0,1.0
0053.jpg,2,389.0,250.0,1.0
0054.jpg,2,385.0,256.0,1.0
0055.jpg,2,392.0,258.0,1.0
0056.jpg,2,398.0,257.0,1.0
0057.jpg,2,400.0,254.0,1.0
0058.jpg,2,415.0,247.0,1.0
0059.jpg,2,432.0,237.0,1.0
0060.jpg,2,443.0,223.0,0.0
0061.jpg,2,454.0,216.0,0.0
0062.jpg,2,463.0,210.0,0.0
0063.jpg,2,465.0,209.0,0.0
0064.jpg,2,476.0,206.0,0.0
0065.jpg,2,483.0,199.0,0.0
0066.jpg,2,493.0,199.0,0.0
0067.jpg,0,,,
0068.jpg,2,506.0,195.0,0.0
0069.jpg,2,510.0,198.0,0.0
0070.jpg,2,517.0,196.0,0.0
0071.jpg,0,,,
0072.jpg,2,536.0,200.0,0.0
0073.jpg,2,543.0,203.0,0.0
0074.jpg,2,552.0,208.0,0.0
0075.jpg,2,552.0,207.0,0.0
0076.jpg,2,561.0,211.0,0.0
0077.jpg,2,565.0,213.0,0.0
0078.jpg,2,571.0,222.0,0.0
0079.jpg,2,573.0,226.0,0.0
0080.jpg,1,572.0,229.0,1.0
0081.jpg,1,572.0,231.0,1.0
0082.jpg,1,568.0,230.0,1.0
0083.jpg,1,567.0,226.0,1.0
0084.jpg,1,559.0,226.0,1.0
0085.jpg,0,,,
0086.jpg,0,,,
0087.jpg,0,,,
0088.jpg,0,,,
0089.jpg,0,,,
0090.jpg,2,548.0,172.0,1.0
0091.jpg,2,556.0,168.0,1.0
0092.jpg,2,556.0,169.0,1.0
0093.jpg,2,554.0,166.0,1.0
0094.jpg,2,554.0,169.0,1.0
0095.jpg,2,552.0,170.0,1.0
0096.jpg,2,547.0,171.0,1.0
0097.jpg,2,540.0,173.0,1.0
0098.jpg,2,,,1.0
0099.jpg,0,,,
0100.jpg,1,524.0,167.0,0.0
0101.jpg,0,,,
0102.jpg,0,,,
0103.jpg,2,495.0,175.0,0.0
0104.jpg,0,,,
0105.jpg,0,,,
0106.jpg,0,,,
0107.jpg,2,465.0,192.0,0.0
0108.jpg,2,454.0,200.0,0.0
0109.jpg,2,443.0,213.0,0.0
0110.jpg,2,433.0,219.0,0.0
0111.jpg,2,433.0,221.0,0.0
0112.jpg,2,420.0,230.0,0.0
0113.jpg,2,408.0,245.0,0.0
0114.jpg,2,396.0,259.0,0.0
0115.jpg,2,380.0,275.0,0.0
0116.jpg,2,371.0,290.0,0.0
0117.jpg,2,373.0,289.0,0.0
0118.jpg,1,372.0,293.0,1.0
0119.jpg,1,372.0,296.0,1.0
0120.jpg,1,371.0,297.0,1.0
0121.jpg,1,370.0,299.0,1.0
0122.jpg,2,360.0,308.0,1.0
0123.jpg,2,363.0,307.0,1.0
