File Name,Visibility Class,X,Y,Trajectory Pattern
0000.jpg,1,911.0,318.0,0
0001.jpg,1,911.0,318.0,0
0002.jpg,1,923.0,311.0,0
0003.jpg,1,935.0,302.0,0
0004.jpg,1,946.0,300.0,0
0005.jpg,1,958.0,293.0,0
0006.jpg,1,969.0,291.0,0
0007.jpg,1,970.0,291.0,0
0008.jpg,1,979.0,289.0,0
0009.jpg,1,989.0,290.0,0
0010.jpg,1,998.0,291.0,0
0011.jpg,1,1010.0,294.0,0
0012.jpg,1,1019.0,297.0,0
0013.jpg,1,1019.0,298.0,0
0014.jpg,1,1027.0,304.0,0
0015.jpg,1,1039.0,310.0,0
0016.jpg,1,1048.0,321.0,0
0017.jpg,2,1059.0,327.0,0
0018.jpg,0,,,
0019.jpg,0,,,
0020.jpg,0,,,
0021.jpg,1,1063.0,347.0,1
0022.jpg,2,1064.0,346.0,1
0023.jpg,2,1069.0,345.0,1
0024.jpg,2,1069.0,342.0,1
0025.jpg,2,1068.0,341.0,1
0026.jpg,1,1071.0,343.0,1
0027.jpg,1,1073.0,338.0,1
0028.jpg,1,1075.0,337.0,1
0029.jpg,2,1078.0,335.0,1
0030.jpg,2,1079.0,331.0,1
0031.jpg,2,1078.0,331.0,1
0032.jpg,2,1077.0,330.0,1
0033.jpg,2,1075.0,328.0,1
0034.jpg,2,,,1
0035.jpg,0,,,
0036.jpg,0,,,
0037.jpg,0,,,
0038.jpg,0,,,
0039.jpg,0,,,
0040.jpg,0,,,
0041.jpg,2,1086.0,321.0,1
0042.jpg,2,1079.0,308.0,1
0043.jpg,2,1082.0,310.0,1
0044.jpg,2,1065.0,303.0,1
0045.jpg,2,1050.0,299.0,1
0046.jpg,1,1042.0,303.0,1
0047.jpg,1,1037.0,302.0,1
0048.jpg,1,1041.0,303.0,1
0049.jpg,1,1042.0,308.0,1
0050.jpg,2,1050.0,300.0,1
0051.jpg,2,1047.0,287.0,1
0052.jpg,0,,,
0053.jpg,2,1011.0,260.0,1
0054.jpg,2,991.0,252.0,1
